證期會代碼,公司中文全稱,年月,收盤價(元)_月
1101,台灣水泥                      ,201712,36.45
1102,亞洲水泥                      ,201712,28.2
1103,嘉新水泥                      ,201712,13.35
1104,環球水泥                      ,201712,22.95
1108,幸福水泥                      ,201712,8.37
1109,信大水泥                      ,201712,13.1
1110,東南水泥                      ,201712,14.75
1201,味全食品工業                  ,201712,21.15
1203,味王                          ,201712,25.2
1210,大成長城企業                  ,201712,33.55
1213,大西洋飲料                    ,201712,15.6
1215,台灣卜蜂企業                  ,201712,64.2
1216,統一企業                      ,201712,66
1217,愛之味                        ,201712,7.49
1218,泰山企業                      ,201712,16.9
1219,福壽實業                      ,201712,17.85
1220,台榮產業                      ,201712,10.4
1225,福懋油脂                      ,201712,66.5
1227,佳格食品                      ,201712,74
1229,聯華實業                      ,201712,36.6
1231,聯華食品工業                  ,201712,33.9
1232,大統益                        ,201712,90.2
1233,天仁茶業                      ,201712,36.05
1234,黑松                          ,201712,31.45
1235,興泰實業                      ,201712,37.45
1236,宏亞食品                      ,201712,17.4
1301,台灣塑膠工業                  ,201712,98.7
1303,南亞塑膠工業                  ,201712,77.9
1304,台灣聚合化學品                ,201712,16.4
1305,華夏海灣塑膠                  ,201712,32.4
1307,三芳化學工業                  ,201712,33.9
1308,亞洲聚合                      ,201712,19.3
1309,台達化學工業                  ,201712,15.2
1310,台灣苯乙烯工業                ,201712,22.7
1312,國喬石油化學                  ,201712,31.45
1313,聯成化學科技                  ,201712,18.8
1314,中國石油化學工業開發          ,201712,15.35
1315,達新工業                      ,201712,25.6
1316,上曜建設開發                  ,201712,24.55
1319,東陽實業廠                    ,201712,57.6
1321,大洋塑膠工業                  ,201712,29.3
1323,永裕塑膠工業                  ,201712,38.6
1324,地球綜合工業                  ,201712,12.5
1325,恒大                          ,201712,19.45
1326,台灣化學纖維                  ,201712,103
1337,亞洲塑膠再生資源控股          ,201712,12.55
1338,廣華控股                      ,201712,114.5
1339,昭輝實業                      ,201712,42.3
1402,遠東新世紀                    ,201712,26.8
1409,新光合成纖維                  ,201712,10.05
1410,南洋染整                      ,201712,23.45
1413,宏洲纖維工業                  ,201712,9.09
1414,東和紡織                      ,201712,7.38
1416,廣豐實業                      ,201712,16.65
1417,嘉裕                          ,201712,4.71
1418,東華合纖                      ,201712,7.95
1419,新光紡織                      ,201712,45.1
1423,利華羊毛工業                  ,201712,8.38
1432,大魯閣實業                    ,201712,14.05
1434,福懋興業                      ,201712,31.3
1435,中福國際                      ,201712,5.36
1436,華友聯開發                    ,201712,40.2
1437,勤益投資控股                  ,201712,17.55
1438,裕豐國際開發                  ,201712,5.4
1439,中和羊毛工業                  ,201712,20.65
1440,台南紡織                      ,201712,13.6
1441,大東紡織                      ,201712,6.96
1442,名軒開發                      ,201712,18.7
1443,立益紡織                      ,201712,5.1
1444,力麗企業                      ,201712,11.7
1445,大宇紡織                      ,201712,8.35
1446,宏和精密紡織                  ,201712,21.4
1447,力鵬企業                      ,201712,9.12
1449,佳和實業                      ,201712,5.45
1451,年興紡織                      ,201712,27.6
1452,宏益纖維工業                  ,201712,22.2
1453,大將開發                      ,201712,10.1
1454,台灣富綢纖維                  ,201712,8.48
1455,集盛實業                      ,201712,12.8
1456,怡華實業                      ,201712,10.35
1457,宜進實業                      ,201712,14.1
1459,聯發紡織纖維                  ,201712,10.3
1460,宏遠興業                      ,201712,14.15
1463,強盛染整                      ,201712,24.4
1464,得力實業                      ,201712,25.2
1465,偉全實業                      ,201712,15.2
1466,聚隆纖維                      ,201712,12.1
1467,南緯實業                      ,201712,11.55
1468,昶和纖維興業                  ,201712,10.25
1469,理隆纖維工業                  ,201712,14.35
1470,大統精密染整                  ,201712,17.75
1471,首利實業                      ,201712,5
1472,三洋紡織纖維                  ,201712,42.4
1473,台南企業                      ,201712,23.85
1474,弘裕企業                      ,201712,11.4
1475,本盟光電                      ,201712,50
1476,儒鴻企業                      ,201712,297.5
1477,聚陽實業                      ,201712,125
1503,士林電機廠                    ,201712,41.3
1504,東元電機                      ,201712,28.5
1506,正道工業                      ,201712,21.15
1507,永大機電工業                  ,201712,48.05
1512,瑞利企業                      ,201712,12.4
1513,中興電工機械                  ,201712,22.25
1514,亞力電機                      ,201712,11.85
1515,力山工業                      ,201712,51.8
1516,川飛能源                      ,201712,14.9
1517,利奇機械工業                  ,201712,11.65
1519,華城電機                      ,201712,20.85
1521,大億交通工業製造              ,201712,79
1522,堤維西交通工業                ,201712,33.2
1524,耿鼎企業                      ,201712,11.85
1525,江申工業                      ,201712,92.3
1526,日馳企業                      ,201712,64.3
1527,鑽全實業                      ,201712,66.7
1528,恩德科技                      ,201712,14.7
1529,樂士                          ,201712,3.27
1530,亞崴機電                      ,201712,31.9
1531,高林                          ,201712,23.4
1532,勤美                          ,201712,28.4
1533,車王電子                      ,201712,41.15
1535,中宇環保工程                  ,201712,42.7
1536,和大工業                      ,201712,147
1537,廣隆光電科技                  ,201712,143.5
1538,正峰新能源                    ,201712,5.05
1539,巨庭機械                      ,201712,20.05
1540,喬福機械工業                  ,201712,15.75
1541,錩泰工業                      ,201712,47.6
1560,中國砂輪企業                  ,201712,87
1582,信錦企業                      ,201712,63.5
1583,程泰機械                      ,201712,63
1589,永冠能源科技集團              ,201712,63.8
1590,亞德客國際集團                ,201712,535
1603,中華電線電纜                  ,201712,28.6
1604,聲寶                          ,201712,13.2
1605,華新麗華                      ,201712,17.6
1608,華榮電線電纜                  ,201712,11.75
1609,大亞電線電纜                  ,201712,13.9
1611,中國電器                      ,201712,9.97
1612,宏泰電工                      ,201712,11
1614,台灣三洋電機                  ,201712,22.85
1615,大山電線電纜                  ,201712,15.85
1616,億泰電線電纜                  ,201712,6.1
1617,榮星電線工業                  ,201712,15.8
1618,合機電線電纜                  ,201712,9.26
1626,艾美特 (開曼) 國際            ,201712,24
1701,中國化學製藥                  ,201712,18.65
1702,南僑投資控股                  ,201712,63.7
1704,李長榮化學工業                ,201712,48.5
1707,葡萄王生技                    ,201712,208
1708,東鹼                          ,201712,29.65
1709,和益化學工業                  ,201712,18.15
1710,東聯化學                      ,201712,31.65
1711,臺灣永光化學工業              ,201712,18.95
1712,興農                          ,201712,16.9
1713,國泰化工廠                    ,201712,16.9
1714,和桐化學                      ,201712,10.2
1717,長興材料工業                  ,201712,30.8
1718,中國人造纖維                  ,201712,10.15
1720,生達化學製藥                  ,201712,35.9
1721,三晃                          ,201712,14.15
1722,台灣肥料                      ,201712,38.35
1723,中鋼碳素化學                  ,201712,127.5
1724,台硝                          ,201712,14.2
1725,元禎企業                      ,201712,15.25
1726,永記造漆工業                  ,201712,81
1727,臺灣中華化學工業              ,201712,16.7
1730,花仙子企業                    ,201712,40.85
1731,美吾華                        ,201712,13.9
1732,毛寶                          ,201712,12.45
1733,五鼎生物技術                  ,201712,31.9
1734,杏輝藥品工業                  ,201712,21.65
1735,日勝化工                      ,201712,19.25
1736,喬山健康科技                  ,201712,35.75
1737,臺鹽實業                      ,201712,27.9
1762,中化合成生技                  ,201712,24.4
1773,勝一化工                      ,201712,78.9
1789,台灣神隆                      ,201712,35.45
1802,台灣玻璃工業                  ,201712,22.35
1805,寶徠建設                      ,201712,13.2
1806,冠軍建材                      ,201712,8.36
1808,潤隆建設                      ,201712,43
1809,中國製釉                      ,201712,12.55
1810,和成欣業                      ,201712,9.88
1902,台灣紙業                      ,201712,19.1
1903,士林紙業                      ,201712,32.65
1904,正隆                          ,201712,16.3
1905,中華紙漿                      ,201712,11.7
1906,寶隆國際                      ,201712,29.25
1907,永豐餘投資控股                ,201712,13.95
1909,榮成紙業                      ,201712,41.85
2002,中國鋼鐵                      ,201712,24.75
2006,東和鋼鐵企業                  ,201712,25.8
2007,燁興企業                      ,201712,5.06
2008,高興昌鋼鐵                    ,201712,11.45
2009,第一伸銅科技                  ,201712,13.85
2010,春源鋼鐵工業                  ,201712,11.45
2012,春雨工廠                      ,201712,14.35
2013,中國鋼鐵結構                  ,201712,19.65
2014,中鴻鋼鐵                      ,201712,12.4
2015,豐興鋼鐵                      ,201712,55.7
2017,官田鋼鐵                      ,201712,10
2020,美亞鋼管廠                    ,201712,14
2022,聚亨企業                      ,201712,6.43
2023,燁輝企業                      ,201712,12.2
2024,志聯工業                      ,201712,10.35
2025,千興不銹鋼                    ,201712,2.74
2027,大成不銹鋼工業                ,201712,21.4
2028,威致鋼鐵工業                  ,201712,9.7
2029,盛餘                          ,201712,28.75
2030,彰源企業                      ,201712,15.8
2031,新光鋼鐵                      ,201712,28
2032,新鋼工業                      ,201712,10
2033,佳大世界                      ,201712,9.15
2034,允強實業                      ,201712,26.75
2038,海光企業                      ,201712,8.5
2049,上銀科技                      ,201712,322
2059,川湖科技                      ,201712,400.5
2062,橋椿金屬                      ,201712,37.15
2101,南港輪胎                      ,201712,26.7
2102,泰豐輪胎                      ,201712,13.55
2103,台橡                          ,201712,37.25
2104,中國合成橡膠                  ,201712,43.85
2105,正新橡膠工業                  ,201712,52.5
2106,建大工業                      ,201712,37.55
2107,厚生                          ,201712,16.25
2108,南帝化學工業                  ,201712,23.5
2109,華豐橡膠工業                  ,201712,12.6
2114,鑫永銓                        ,201712,88
2201,裕隆汽車製造                  ,201712,24.15
2204,中華汽車工業                  ,201712,26
2206,三陽工業                      ,201712,21.4
2207,和泰汽車                      ,201712,354
2208,台灣國際造船                  ,201712,11.3
2227,裕隆日產汽車                  ,201712,266.5
2231,為升電裝工業                  ,201712,274
2301,光寶科技                      ,201712,40.6
2302,麗正國際科技                  ,201712,6.05
2303,聯華電子                      ,201712,14.2
2305,全友電腦                      ,201712,9.99
2308,台達電子工業                  ,201712,143.5
2311,日月光半導體製造              ,201712,38.15
2312,金寶電子工業                  ,201712,10.55
2313,華通電腦                      ,201712,38.4
2314,台揚科技                      ,201712,30.05
2316,楠梓電子                      ,201712,18.8
2317,鴻海精密工業                  ,201712,95.2
2321,東訊                          ,201712,3.37
2323,中環                          ,201712,4.25
2324,仁寶電腦工業                  ,201712,21.3
2325,矽品精密工業                  ,201712,50.3
2327,國巨                          ,201712,353
2328,廣宇科技                      ,201712,25.35
2329,華泰電子                      ,201712,9.45
2330,台灣積體電路製造              ,201712,229.5
2331,精英電腦                      ,201712,19.85
2332,友訊科技                      ,201712,10.6
2337,旺宏電子                      ,201712,44.2
2338,台灣光罩                      ,201712,18
2340,光磊科技                      ,201712,21.4
2342,台灣茂矽電子                  ,201712,17.95
2344,華邦電子                      ,201712,23.45
2345,智邦科技                      ,201712,106
2347,聯強國際                      ,201712,40.55
2348,海悅國際開發                  ,201712,26.7
2349,錸德科技                      ,201712,4.66
2351,順德工業                      ,201712,85.9
2352,佳世達科技                    ,201712,21.15
2353,宏碁                          ,201712,24.15
2354,鴻準精密工業                  ,201712,85.2
2355,敬鵬工業                      ,201712,58.1
2356,英業達                        ,201712,23.75
2357,華碩電腦                      ,201712,279.5
2358,廷鑫興業                      ,201712,23.6
2359,所羅門                        ,201712,23.15
2360,致茂電子                      ,201712,162
2362,藍天電腦                      ,201712,29
2363,矽統科技                      ,201712,8.95
2364,倫飛電腦實業                  ,201712,2.4
2365,昆盈企業                      ,201712,10.3
2367,燿華電子                      ,201712,23.2
2368,金像電子                      ,201712,10.6
2369,菱生精密工業                  ,201712,15.05
2371,大同                          ,201712,19.2
2373,震旦行                        ,201712,86.3
2374,佳能企業                      ,201712,19.9
2375,智寶電子                      ,201712,43.8
2376,技嘉科技                      ,201712,54
2377,微星科技                      ,201712,76.6
2379,瑞昱半導體                    ,201712,109
2380,虹光精密工業                  ,201712,6.87
2382,廣達電腦                      ,201712,61.9
2383,台光電子材料                  ,201712,101.5
2385,群光電子                      ,201712,75
2387,精元電腦                      ,201712,17.3
2388,威盛電子                      ,201712,10.6
2390,云辰電子開發                  ,201712,11.8
2392,正崴精密工業                  ,201712,50
2393,億光電子工業                  ,201712,44.95
2395,研華                          ,201712,210.5
2397,友通資訊                      ,201712,60.5
2399,映泰                          ,201712,13.15
2401,凌陽科技                      ,201712,16.4
2402,毅嘉科技                      ,201712,16.55
2404,漢唐集成                      ,201712,58.7
2405,浩鑫                          ,201712,20.3
2406,國碩科技工業                  ,201712,16.3
2408,南亞科技                      ,201712,76.2
2409,友達光電                      ,201712,12.4
2412,中華電信                      ,201712,106
2413,環隆科技                      ,201712,21.7
2414,精技電腦                      ,201712,19.6
2415,錩新科技                      ,201712,26.35
2417,圓剛科技                      ,201712,13.6
2419,仲琦科技                      ,201712,21.5
2420,新巨企業                      ,201712,35.85
2421,建準電機工業                  ,201712,52.4
2423,固緯電子實業                  ,201712,22.75
2424,隴華電子                      ,201712,38.5
2425,承啟科技                      ,201712,15.6
2426,鼎元光電科技                  ,201712,15.75
2427,三商電腦                      ,201712,10.05
2428,興勤電子工業                  ,201712,84.2
2429,銘旺科技                      ,201712,10.8
2430,燦坤實業                      ,201712,24.05
2431,聯昌電子企業                  ,201712,15.55
2433,互盛                          ,201712,43.4
2434,統懋半導體                    ,201712,9.29
2436,偉詮電子                      ,201712,29.7
2438,翔耀實業                      ,201712,6.81
2439,美律實業                      ,201712,194.5
2440,太空梭高傳真資訊科技          ,201712,10.3
2441,超豐電子                      ,201712,52.1
2442,新美齊                        ,201712,8.03
2443,新利虹科技                    ,201712,6.2
2444,友旺科技                      ,201712,41.85
2448,晶元光電                      ,201712,45.15
2449,京元電子                      ,201712,30.25
2450,神腦國際企業                  ,201712,50.3
2451,創見資訊                      ,201712,82.7
2453,凌群電腦                      ,201712,15.35
2454,聯發科技                      ,201712,294
2455,全新光電科技                  ,201712,93.1
2456,奇力新電子                    ,201712,98.5
2457,飛宏科技                      ,201712,14.1
2458,義隆電子                      ,201712,46.1
2459,敦吉科技                      ,201712,42.95
2460,建通精密工業                  ,201712,15.6
2461,光群雷射科技                  ,201712,16.4
2462,台灣良得電子                  ,201712,31.1
2464,盟立自動化                    ,201712,48.1
2465,麗臺科技                      ,201712,19.2
2466,冠西電子企業                  ,201712,35.15
2467,志聖工業                      ,201712,27.55
2468,華經資訊企業                  ,201712,11.25
2471,資通電腦                      ,201712,14.65
2472,立隆電子工業                  ,201712,61.5
2474,可成科技                      ,201712,328
2475,中華映管                      ,201712,2.31
2476,鉅祥企業                      ,201712,27
2477,美隆工業                      ,201712,26.4
2478,大毅科技                      ,201712,37.5
2480,敦陽科技                      ,201712,35.7
2481,強茂                          ,201712,30
2482,連宇                          ,201712,12.5
2483,百容電子                      ,201712,24.5
2484,希華晶體科技                  ,201712,21.15
2485,兆赫電子                      ,201712,31.6
2486,一詮精密工業                  ,201712,10.85
2488,漢平電子工業                  ,201712,29.85
2489,瑞軒科技                      ,201712,16.35
2491,吉祥全球實業                  ,201712,7.02
2492,華新科技                      ,201712,105
2493,揚博科技                      ,201712,26.45
2495,普安科技                      ,201712,14.4
2496,卓越成功                      ,201712,169
2497,怡利電子工業                  ,201712,30
2498,宏達國際電子                  ,201712,73.1
2499,東貝光電科技                  ,201712,11.5
2501,國泰建設                      ,201712,16.45
2504,國產建材實業                  ,201712,9.77
2505,國揚實業                      ,201712,17.75
2506,太平洋建設                    ,201712,10.7
2509,全坤建設開發                  ,201712,21.65
2511,太子建設開發                  ,201712,12.05
2514,龍邦國際興業                  ,201712,15.35
2515,中華工程                      ,201712,8.2
2516,新亞建設開發                  ,201712,7.24
2520,冠德建設                      ,201712,20.4
2524,京城建設                      ,201712,22.3
2527,宏璟建設                      ,201712,24.7
2528,皇普建設                      ,201712,19.6
2530,大華建設                      ,201712,15.2
